path,level,prefLabel,synonym,definition
symptom/musculoskeletal system symptom/lameness,2,lameness,,Lameness is a musculoskeletal system symptom where a person is physically disabled as the result of having a body part and especially a limb so disabled as to impair freedom of movement.
symptom/hemic and immune system symptom,1,hemic and immune system symptom,,
symptom/hemic and immune system symptom/hematopoietic system symptom,2,hematopoietic system symptom,,
symptom/hemic and immune system symptom/immune system symptom,2,immune system symptom,,
symptom/hemic and immune system symptom/immune system symptom/anaphylactic shock,3,anaphylactic shock,anaphylaxis,An acute allergic reaction to an antigen to which the body has become hypersensitive.
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom,3,lymphatic system symptom,,
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/enlargement of lymph nodes,4,enlargement of lymph nodes,swelling of lymph nodes|swollen lymph glands,
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/enlargement of lymph nodes/lymphadenopathy,5,lymphadenopathy,adenopathy,
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/enlargement of lymph nodes/lymphadenopathy/painful reginal lymphadenopathy,6,painful reginal lymphadenopathy,,
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/enlargement of lymph nodes/lymphadenopathy/cervical lymphadenopathy,6,cervical lymphadenopathy,,
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphoblastoma,4,lymphoblastoma,,
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphopenia,4,lymphopenia,,doid/symp duplicate
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphangitis,4,lymphangitis,,doid/symp duplicate
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphadenitis,4,lymphadenitis,,doid/symp duplicate
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphadenitis/bubo,5,bubo,buboes,
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphadenitis/hilar lymphadenitis,5,hilar lymphadenitis,,
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphadenitis/acute mesenteric lymphadenitis,5,acute mesenteric lymphadenitis,,
symptom/hemic and immune system symptom/immune system symptom/spleen symptom,3,spleen symptom,,
symptom/hemic and immune system symptom/immune system symptom/spleen symptom/hepatosplenomegaly,4,hepatosplenomegaly,,
symptom/hemic and immune system symptom/immune system symptom/spleen symptom/splenomegaly,4,splenomegaly,esplenomegaly,
symptom/hemic and immune system symptom/immune system symptom/spleen symptom/spleen abscess,4,spleen abscess,,
symptom/hemic and immune system symptom/immune system symptom/thymus symptom,3,thymus symptom,,
symptom/hemic and immune system symptom/immune system symptom/allergic reaction,3,allergic reaction,,An immune system symptom that is characterized by sensitivities to substances called allergens.
symptom/hemic and immune system symptom/hemic system symptom,2,hemic system symptom,,
symptom/hemic and immune system symptom/hemic system symptom/toxemia,3,toxemia,,
symptom/hemic and immune system symptom/hemic system symptom/toxemia/intense toxemia,4,intense toxemia,,
symptom/hemic and immune system symptom/hemic system symptom/microangiopathy,3,microangiopathy,,
symptom/hemic and immune system symptom/hemic system symptom/coagulopathy,3,coagulopathy,,
symptom/hemic and immune system symptom/hemic system symptom/hyponatremia,3,hyponatremia,,
symptom/hemic and immune system symptom/hemic system symptom/septicemia,3,septicemia,,
symptom/hemic and immune system symptom/hemic system symptom/thrombocytopenia,3,thrombocytopenia,,doid/symp duplicate
