id,level,path,prefLabel
http://purl.obolibrary.org/obo/DOID_4072,1,disease/duodenum disease,duodenum disease
http://purl.obolibrary.org/obo/DOID_820,1,disease/myocarditis,myocarditis
http://purl.obolibrary.org/obo/DOID_2914,1,disease/immune system disease,immune system disease
http://purl.obolibrary.org/obo/DOID_12491,1,disease/Vagus nerve disease,Vagus nerve disease
http://purl.obolibrary.org/obo/DOID_1393,1,disease/visual pathway disease,visual pathway disease
http://purl.obolibrary.org/obo/DOID_17,1,disease/musculoskeletal system disease,musculoskeletal system disease
http://purl.obolibrary.org/obo/DOID_178,1,disease/vascular disease,vascular disease
http://purl.obolibrary.org/obo/DOID_4079,1,disease/heart valve disease,heart valve disease
http://purl.obolibrary.org/obo/DOID_2952,1,disease/inner ear disease,inner ear disease
http://purl.obolibrary.org/obo/DOID_5100,1,disease/middle ear disease,middle ear disease
http://purl.obolibrary.org/obo/DOID_5330,1,disease/dental pulp disease,dental pulp disease
http://purl.obolibrary.org/obo/DOID_0080616,1,disease/kidney cortex disease,kidney cortex disease
http://purl.obolibrary.org/obo/DOID_48,1,disease/male reproductive system disease,male reproductive system disease
http://purl.obolibrary.org/obo/DOID_365,1,disease/bladder disease,bladder disease
http://purl.obolibrary.org/obo/DOID_367,1,disease/olfactory nerve disease,olfactory nerve disease
http://purl.obolibrary.org/obo/DOID_10944,1,disease/tongue disease,tongue disease
http://purl.obolibrary.org/obo/DOID_3952,1,disease/adrenal cortex disease,adrenal cortex disease
http://purl.obolibrary.org/obo/DOID_14566,1,disease/disease of cellular proliferation,disease of cellular proliferation
http://purl.obolibrary.org/obo/DOID_9553,1,disease/adrenal gland disease,adrenal gland disease
http://purl.obolibrary.org/obo/DOID_28,1,disease/endocrine system disease,endocrine system disease
http://purl.obolibrary.org/obo/DOID_289,1,disease/endometriosis,endometriosis
http://purl.obolibrary.org/obo/DOID_1352,1,disease/paranasal sinus disease,paranasal sinus disease
http://purl.obolibrary.org/obo/DOID_0014667,1,disease/disease of metabolism,disease of metabolism
http://purl.obolibrary.org/obo/DOID_238,1,disease/pupil disease,pupil disease
http://purl.obolibrary.org/obo/DOID_231,1,disease/motor neuron disease,motor neuron disease
http://purl.obolibrary.org/obo/DOID_574,1,disease/peripheral nervous system disease,peripheral nervous system disease
